Datetime,Open,High,Low,Close,Adj Close,Volume
2021-11-11 15:05:00+05:30,38555.8,38604.65,38555.3,38559.5,0,
2021-11-11 15:10:00+05:30,38560.15,38564.9,38525.6,38539.45,0,
2021-11-11 15:15:00+05:30,38540.3,38577.5,38537.7,38575.55,0,
2021-11-11 15:20:00+05:30,38576,38576,38543,38559.65,0,
2021-11-11 15:25:00+05:30,38565.85,38585.4,38553.95,38571.6,0,
2021-11-12 09:15:00+05:30,38707.15,38765,38670.85,38718.55,0,
2021-11-12 09:20:00+05:30,38723.1,38737.9,38622.3,38625.25,0,
2021-11-12 09:25:00+05:30,38626.85,38735.1,38619.25,38711.5,0,
2021-11-12 09:30:00+05:30,38715.4,38759.55,38715.4,38731.1,0,
2021-11-12 09:35:00+05:30,38731.45,38731.45,38690.8,38692.4,0,
2021-11-12 09:40:00+05:30,38693.1,38693.3,38601.1,38613.45,0,
2021-11-12 09:45:00+05:30,38613.2,38679.9,38607.4,38665.55,0,
2021-11-12 09:50:00+05:30,38667.65,38694.75,38658.25,38666.2,0,
2021-11-12 09:55:00+05:30,38665.65,38700.1,38633.5,38694.15,0,
2021-11-12 10:00:00+05:30,38696,38702.4,38667.25,38670.3,0,
2021-11-12 10:05:00+05:30,38667.45,38684.8,38641.65,38645.7,0,
2021-11-12 10:10:00+05:30,38645.35,38646.8,38624.1,38631.25,0,
2021-11-12 10:15:00+05:30,38630.75,38649.75,38621.35,38633.95,0,
2021-11-12 10:20:00+05:30,38633.4,38640.25,38513.35,38534.5,0,
2021-11-12 10:25:00+05:30,38537.8,38588.35,38530,38576.65,0,
2021-11-12 10:30:00+05:30,38577.2,38582.55,38550,38559.5,0,
2021-11-12 10:35:00+05:30,38559.05,38561.55,38483.05,38489.5,0,
2021-11-12 10:40:00+05:30,38489.75,38553.7,38471.15,38536.85,0,
2021-11-12 10:45:00+05:30,38537.8,38537.8,38501.55,38508.2,0,
2021-11-12 10:50:00+05:30,38505.8,38506.9,38469.7,38499.85,0,
2021-11-12 10:55:00+05:30,38496.45,38544.95,38487.2,38522.5,0,
2021-11-12 11:00:00+05:30,38522.45,38565.25,38514.8,38514.8,0,
2021-11-12 11:05:00+05:30,38510.4,38559.55,38504.85,38555.4,0,
2021-11-12 11:10:00+05:30,38551,38561.3,38512.4,38556.75,0,
2021-11-12 11:15:00+05:30,38556.25,38577.1,38541.65,38558.4,0,
2021-11-12 11:20:00+05:30,38558.35,38572.3,38540.1,38567.9,0,
2021-11-12 11:25:00+05:30,38565.9,38570.9,38540.3,38553.8,0,
2021-11-12 11:30:00+05:30,38555.75,38606.65,38551.65,38601.9,0,
2021-11-12 11:35:00+05:30,38603.7,38603.7,38563.4,38576.8,0,
